Código Município IBGE,Código Município,REGIAO_ANS,Município,UF,Nome UF,Faixa Etária Reajustada,População
3100104,310010,Uberlândia,Abadia dos Dourados,MG,Minas Gerais,00 a 18 anos,1963
3100203,310020,Sete Lagoas,Abaeté,MG,Minas Gerais,00 a 18 anos,6403
3100302,310030,Manhumirim,Abre Campo,MG,Minas Gerais,00 a 18 anos,4127
3100401,310040,Ponte Nova,Acaiaca,MG,Minas Gerais,00 a 18 anos,1287
3100500,310050,Coronel Fabriciano,Açucena,MG,Minas Gerais,00 a 18 anos,3095
3100609,310060,Governador Valadares,Água Boa,MG,Minas Gerais,00 a 18 anos,5292
3100708,310070,Uberaba,Água Comprida,MG,Minas Gerais,00 a 18 anos,492
3100807,310080,Divinópolis,Aguanil,MG,Minas Gerais,00 a 18 anos,1246
3100906,310090,Teófilo Otoni,Águas Formosas,MG,Minas Gerais,00 a 18 anos,6657
3101003,310100,Pedra Azul,Águas Vermelhas,MG,Minas Gerais,00 a 18 anos,4653
3101102,310110,Governador Valadares,Aimorés,MG,Minas Gerais,00 a 18 anos,7556
3101201,310120,Varginha,Aiuruoca,MG,Minas Gerais,00 a 18 anos,1556
3101300,310130,Varginha,Alagoa,MG,Minas Gerais,00 a 18 anos,772
3101409,310140,Pouso Alegre,Albertina,MG,Minas Gerais,00 a 18 anos,883
3101508,310150,Leopoldina,Além Paraíba,MG,Minas Gerais,00 a 18 anos,10327
3101607,310160,Alfenas,Alfenas,MG,Minas Gerais,00 a 18 anos,22765
3101631,310163,Barbacena,Alfredo Vasconcelos,MG,Minas Gerais,00 a 18 anos,2103
3101706,310170,Pedra Azul,Almenara,MG,Minas Gerais,00 a 18 anos,13363
3101805,310180,Governador Valadares,Alpercata,MG,Minas Gerais,00 a 18 anos,2435
3101904,310190,Passos,Alpinópolis,MG,Minas Gerais,00 a 18 anos,5755
3102001,310200,Alfenas,Alterosa,MG,Minas Gerais,00 a 18 anos,4064
3102050,310205,Manhumirim,Alto Caparaó,MG,Minas Gerais,00 a 18 anos,1793
3102100,310210,Barbacena,Alto Rio Doce,MG,Minas Gerais,00 a 18 anos,3168
3102209,310220,Governador Valadares,Alvarenga,MG,Minas Gerais,00 a 18 anos,1289
3102308,310230,Ponte Nova,Alvinópolis,MG,Minas Gerais,00 a 18 anos,4416
3102407,310240,Diamantina,Alvorada de Minas,MG,Minas Gerais,00 a 18 anos,1486
3102506,310250,Ponte Nova,Amparo do Serra,MG,Minas Gerais,00 a 18 anos,1405
3102605,310260,Pouso Alegre,Andradas,MG,Minas Gerais,00 a 18 anos,10910
3102704,310270,Pedra Azul,Cachoeira de Pajeú,MG,Minas Gerais,00 a 18 anos,3170
3102803,310280,Juiz de Fora,Andrelândia,MG,Minas Gerais,00 a 18 anos,3343
3102852,310285,Teófilo Otoni,Angelândia,MG,Minas Gerais,00 a 18 anos,3300
3102902,310290,Barbacena,Antônio Carlos,MG,Minas Gerais,00 a 18 anos,3180
3103009,310300,Coronel Fabriciano,Antônio Dias,MG,Minas Gerais,00 a 18 anos,3121
3103108,310310,Ubá,Antônio Prado de Minas,MG,Minas Gerais,00 a 18 anos,389
3103207,310320,Sete Lagoas,Araçaí,MG,Minas Gerais,00 a 18 anos,705
3103306,310330,Juiz de Fora,Aracitaba,MG,Minas Gerais,00 a 18 anos,491
3103405,310340,Diamantina,Araçuaí,MG,Minas Gerais,00 a 18 anos,12450
3103504,310350,Uberlândia,Araguari,MG,Minas Gerais,00 a 18 anos,32167
3103603,310360,Juiz de Fora,Arantina,MG,Minas Gerais,00 a 18 anos,808
3103702,310370,Ponte Nova,Araponga,MG,Minas Gerais,00 a 18 anos,2688
3103751,310375,Uberlândia,Araporã,MG,Minas Gerais,00 a 18 anos,2292
3103801,310380,Patos de Minas,Arapuá,MG,Minas Gerais,00 a 18 anos,743
3103900,310390,Divinópolis,Araújos,MG,Minas Gerais,00 a 18 anos,2825
3104007,310400,Uberaba,Araxá,MG,Minas Gerais,00 a 18 anos,28940
3104106,310410,Alfenas,Arceburgo,MG,Minas Gerais,00 a 18 anos,3164
3104205,310420,Divinópolis,Arcos,MG,Minas Gerais,00 a 18 anos,10802
3104304,310430,Alfenas,Areado,MG,Minas Gerais,00 a 18 anos,4280
3104403,310440,Leopoldina,Argirita,MG,Minas Gerais,00 a 18 anos,696
3104452,310445,Diamantina,Aricanduva,MG,Minas Gerais,00 a 18 anos,1870
3104502,310450,Unaí,Arinos,MG,Minas Gerais,00 a 18 anos,6507
3104601,310460,Leopoldina,Astolfo Dutra,MG,Minas Gerais,00 a 18 anos,3882
3104700,310470,Teófilo Otoni,Ataléia,MG,Minas Gerais,00 a 18 anos,4301
3104809,310480,Sete Lagoas,Augusto de Lima,MG,Minas Gerais,00 a 18 anos,1624
3104908,310490,Varginha,Baependi,MG,Minas Gerais,00 a 18 anos,5338
3105004,310500,Sete Lagoas,Baldim,MG,Minas Gerais,00 a 18 anos,2397
3105103,310510,Divinópolis,Bambuí,MG,Minas Gerais,00 a 18 anos,5905
3105202,310520,Pedra Azul,Bandeira,MG,Minas Gerais,00 a 18 anos,1464
3105301,310530,Alfenas,Bandeira do Sul,MG,Minas Gerais,00 a 18 anos,1655
3105400,310540,Itabira,Barão de Cocais,MG,Minas Gerais,00 a 18 anos,9805
3105509,310550,Ubá,Barão de Monte Alto,MG,Minas Gerais,00 a 18 anos,1529
3105608,310560,Barbacena,Barbacena,MG,Minas Gerais,00 a 18 anos,37323
