COD_MUNICIPIO,Municipio,Distancia
310010,Abadia dos Dourados,505
310020,Abaeté,207
310030,Abre Campo,227
310040,Acaiaca,149
310050,Açucena,279
310060,Água Boa,371
310070,Água Comprida,535
310080,Aguanil,232
310090,Águas Formosas,598
310100,Águas Vermelhas,740
310110,Aimorés,459
310120,Aiuruoca,394
310130,Alagoa,432
310140,Albertina,476
310150,Além Paraíba,380
310160,Alfenas,344
310163,Alfredo Vasconcelos,162
310170,Almenara,725
310180,Alpercata,329
310190,Alpinópolis,348
310200,Alterosa,382
310205,Alto Caparaó,322
315350,Alto Jequitibá,314
310210,Alto Rio Doce,204
310220,Alvarenga,345
310230,Alvinópolis,166
310240,Alvorada de Minas,219
310250,Amparo do Serra,200
310260,Andradas,506
310280,Andrelândia,284
310285,Angelândia,446
310290,Antônio Carlos,191
310300,Antônio Dias,180
310310,Antônio Prado de Minas,421
310320,Araçaí,120
310330,Aracitaba,221
310340,Araçuaí,684
310350,Araguari,566
310360,Arantina,320
310370,Araponga,271
310375,Araporã,705
310380,Arapuá,344
310390,Araújos,147
310400,Araxá,362
310410,Arceburgo,451
310420,Arcos,221
310430,Areado,370
310440,Argirita,337
310445,Aricanduva,451
310450,Arinos,746
310460,Astolfo Dutra,281
310470,Ataléia,525
310480,Augusto de Lima,252
310490,Baependi,367
310500,Baldim,99
310510,Bambuí,263
310520,Bandeira,746
310530,Bandeira do Sul,443
310540,Barão de Cocais,99
310550,Barão de Monte Alto,435
310560,Barbacena,173
310570,Barra Longa,166
310590,Barroso,209
310600,Bela Vista de Minas,128
310610,Belmiro Braga,301
310630,Belo Oriente,258
310640,Belo Vale,88
310650,Berilo,529
310665,Berizal,760
310660,Bertópolis,655
310670,Betim,31
310680,Bias Fortes,240
310690,Bicas,313
310700,Biquinhas,265
310710,Boa Esperança,277
310720,Bocaina de Minas,390
310730,Bocaiúva,379
310740,Bom Despacho,157
310750,Bom Jardim de Minas,328
310760,Bom Jesus da Penha,370
310770,Bom Jesus do Amparo,74
310780,Bom Jesus do Galho,278
310790,Bom Repouso,435
310800,Bom Sucesso,198
310810,Bonfim,90
310820,Bonfinópolis de Minas,552
310825,Bonito de Minas,661
310830,Borda da Mata,418
310840,Botelhos,451
310850,Botumirim,525
310870,Brás Pires,195
310855,Brasilândia de Minas,542
310860,Brasília de Minas,537
310890,Brazópolis,430
310880,Braúnas,236
310900,Brumadinho,56
310910,Bueno Brandão,464
310920,Buenópolis,277
310925,Bugre,274
310930,Buritis,760
310940,Buritizeiro,351
310945,Cabeceira Grande,687
310950,Cabo Verde,423
310960,Cachoeira da Prata,95
310970,Cachoeira de Minas,411
310270,Cachoeira de Pajeú,661
310980,Cachoeira Dourada,758
310990,Caetanópolis,96
311000,Caeté,46
311010,Caiana,363
311020,Cajuri,229
311030,Caldas,480
311040,Camacho,200
311050,Camanducaia,443
311060,Cambuí,430
311070,Cambuquira,309
311080,Campanário,397
311090,Campanha,310
311100,Campestre,420
311110,Campina Verde,677
311115,Campo Azul,445
311120,Campo Belo,218
311130,Campo do Meio,329
311140,Campo Florido,545
311150,Campos Altos,278
311160,Campos Gerais,302
311190,Cana Verde,226
311170,Canaã,259
311180,Canápolis,657
311200,Candeias,238
311205,Cantagalo,291
311210,Caparaó,336
311220,Capela Nova,162
311230,Capelinha,427
311240,Capetinga,423
311250,Capim Branco,55
311260,Capinópolis,725
311265,Capitão Andrade,347
311270,Capitão Enéas,494
311280,Capitólio,284
311290,Caputira,297
311300,Caraí,572
311310,Caranaíba,129
311320,Carandaí,133
311330,Carangola,348
311340,Caratinga,297
311350,Carbonita,421
311360,Careaçu,331
311370,Carlos Chagas,557
311380,Carmésia,173
311390,Carmo da Cachoeira,255
311400,Carmo da Mata,169
311410,Carmo de Minas,373
311420,Carmo do Cajuru,124
311430,Carmo do Paranaíba,346
311440,Carmo do Rio Claro,356
311450,Carmópolis de Minas,122
311455,Carneirinho,822
311460,Carrancas,279
311470,Carvalhópolis,387
311480,Carvalhos,375
311490,Casa Grande,129
311500,Cascalho Rico,554
311510,Cássia,399
311530,Cataguases,305
311535,Catas Altas,120
311540,Catas Altas da Noruega,140
311545,Catuji,518
311547,Catuti,640
311550,Caxambu,375
311560,Cedro do Abaeté,248
311570,Central de Minas,415
311580,Centralina,663
311590,Chácara,303
311600,Chalé,360
311610,Chapada do Norte,507
311615,Chapada Gaúcha,730
311620,Chiador,332
311630,Cipotânea,164
311640,Claraval,467
311650,Claro dos Poções,464
311660,Cláudio,139
311670,Coimbra,241
311680,Coluna,372
311690,Comendador Gomes,614
311700,Comercinho,686
311710,Conceição da Aparecida,401
311520,Conceição da Barra de Minas,236
311730,Conceição das Alagoas,550
311720,Conceição das Pedras,398
311740,Conceição de Ipanema,374
311750,Conceição do Mato Dentro,163
311760,Conceição do Pará,129
311770,Conceição do Rio Verde,336
311780,Conceição dos Ouros,422
311783,Cônego Marinho,650
311787,Confins,40
311790,Congonhal,403
311800,Congonhas,81
311810,Congonhas do Norte,217
311820,Conquista,486
311830,Conselheiro Lafaiete,99
311840,Conselheiro Pena,405
311850,Consolação,456
311860,Contagem,21
311870,Coqueiral,267
311880,Coração de Jesus,487
311890,Cordisburgo,110
311900,Cordislândia,343
311910,Corinto,215
311920,Coroaci,388
311930,Coromandel,537
311940,Coronel Fabriciano,211
311950,Coronel Murta,585
311960,Coronel Pacheco,285
311970,Coronel Xavier Chaves,174
311980,Córrego Danta,236
311990,Córrego do Bom Jesus,436
311995,Córrego Fundo,218
312000,Córrego Novo,285
312010,Couto de Magalhães de Minas,334
312015,Crisólita,590
312020,Cristais,249
312030,Cristália,548
312040,Cristiano Otoni,119
312050,Cristina,396
312060,Crucilândia,119
312070,Cruzeiro da Fortaleza,426
312080,Cruzília,331
312083,Cuparaque,436
312087,Curral de Dentro,731
312090,Curvelo,164
312100,Datas,259
312110,Delfim Moreira,472
312120,Delfinópolis,430
312125,Delta,515
312130,Descoberto,321
312140,Desterro de Entre Rios,145
312150,Desterro do Melo,220
312160,Diamantina,296
312170,Diogo de Vasconcelos,139
312180,Dionísio,181
312190,Divinésia,196
312200,Divino,324
312210,Divino das Laranjeiras,385
312220,Divinolândia de Minas,291
312230,Divinópolis,123
312235,Divisa Alegre,752
312240,Divisa Nova,404
312245,Divisópolis,674
312247,Dom Bosco,556
312250,Dom Cavati,284
312260,Dom Joaquim,227
312270,Dom Silvério,172
312280,Dom Viçoso,400
312290,Dona Eusébia,287
312300,Dores de Campos,206
312310,Dores de Guanhães,224
312320,Dores do Indaiá,240
312330,Dores do Turvo,230
312340,Doresópolis,281
312350,Douradoquara,543
312352,Durandé,316
312360,Elói Mendes,325
312370,Engenheiro Caldas,304
312380,Engenheiro Navarro,353
312385,Entre Folhas,295
312390,Entre Rios de Minas,130
312400,Ervália,259
312410,Esmeraldas,58
312420,Espera Feliz,346
312430,Espinosa,688
312440,Espírito Santo do Dourado,412
312450,Estiva,412
312460,Estrela Dalva,360
312470,Estrela do Indaiá,252
312480,Estrela do Sul,505
312490,Eugenópolis,411
312500,Ewbank da Câmara,242
312510,Extrema,482
312520,Fama,375
312530,Faria Lemos,359
312540,Felício dos Santos,356
312560,Felisburgo,737
312570,Felixlândia,189
312580,Fernandes Tourinho,304
312590,Ferros,184
312595,Fervedouro,355
312600,Florestal,62
312610,Formiga,200
312620,Formoso,776
312630,Fortaleza de Minas,378
312640,Fortuna de Minas,105
312650,Francisco Badaró,554
312660,Francisco Dumont,371
