 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Município e Ano/mês processamento
Período:Jan/2019-Ago/2020
"Município";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"110001 Alta Floresta D'Oeste";41393,52;43317,89;73338,43;65419,39;66829,16;67588,88;69835,04;68974,03;54726,33;53857,47;49009,86;41883,92;36130,46;34063,92;38244,89;31136,06;27748,08;19925,99;47051,03;63285,94;993760,29
"110037 Alto Alegre dos Parecis";8898,89;4574,43;10549,28;10737,21;8398,00;16258,63;11872,03;14817,78;11155,03;9346,72;9879,55;5130,47;9587,46;10266,47;6104,38;6922,38;4873,94;9010,86;11176,12;14255,11;193814,74
"110040 Alto Paraíso";9077,99;10825,92;15846,37;20652,66;15920,66;16572,47;17720,03;12949,94;9923,32;6591,19;553,30;5667,69;9325,89;10835,71;10256,26;5853,94;4809,57;10096,83;17343,79;23064,53;233888,06
"110034 Alvorada D'Oeste";7906,53;11400,38;15068,55;17804,65;15646,06;14794,84;13431,38;11419,65;13588,97;16910,82;13716,51;15666,77;10955,07;11938,18;12685,63;2312,12;5640,19;-;-;-;210886,30
"110002 Ariquemes";348305,29;338095,92;363500,58;420896,75;454105,91;355426,82;351988,43;343097,10;345129,93;395629,22;392628,89;440131,88;352843,65;361090,16;353392,79;338527,05;468884,74;156832,16;104169,12;159622,22;6844298,61
"110045 Buritis";18097,62;14685,51;27759,29;18714,50;29953,28;60136,68;11553,87;31209,33;45942,53;25798,42;37615,50;31530,62;14255,08;28436,89;29348,07;40443,69;29547,58;18693,00;49553,27;54448,17;617722,90
"110003 Cabixi";6077,97;4776,32;7786,81;7461,31;7696,19;7879,33;8680,27;7105,51;7704,98;8908,01;4669,33;7444,72;7731,00;7777,28;6835,25;8605,26;8603,05;7437,32;6537,04;-;139716,95
"110060 Cacaulândia";190,70;2806,07;592,94;1689,67;2081,39;2297,03;189,67;1843,30;1026,05;1924,58;2885,90;437,36;186,06;582,42;324,90;218,68;730,71;-;-;-;20007,43
"110004 Cacoal";1047683,45;747470,53;820527,67;1021000,01;988665,96;1092644,21;965095,67;869147,63;1189681,22;1087445,59;932369,79;841469,94;947158,40;706361,90;880921,39;763263,77;860487,59;862317,40;707829,50;729183,06;18060724,68
"110070 Campo Novo de Rondônia";7624,32;5967,36;10376,72;4633,15;7361,13;7058,19;9372,24;4245,47;6030,82;6075,28;6204,51;9900,42;2969,50;6020,26;1279,78;986,25;292,62;6000,00;1989,34;4164,85;108552,21
