cod_ibge;UF;Município;Região de saúde;Grupo homogêneo;IDSUS;Índice de acesso ao SUS;Índice de efetividade do SUS 
310010;MG;Abadia dos Dourados;Patrocínio / Monte Carmelo;5;6 a 6,9;6.04;7.62
310020;MG;Abaeté;Sete Lagoas;3;6 a 6,9;6.33;6.57
310030;MG;Abre Campo;Manhuaçu;6;5 a 5,9;4.93;6.11
310040;MG;Acaiaca;Ponte Nova;6;7 a 7,9;6.94;7.69
310050;MG;Açucena;Ipatinga;6;6 a 6,9;5.5;8.52
310060;MG;Água Boa;Santa Maria do Suaçuí;6;4 a 4,9;3.46;7.65
310070;MG;Água Comprida;Uberaba;5;6 a 6,9;7.02;6.63
310080;MG;Aguanil;Campo Belo;5;5 a 5,9;5.78;5.15
310090;MG;Águas Formosas;Águas Formosas;4;5 a 5,9;4.92;8.17
310100;MG;Águas Vermelhas;Pedra azul;6;5 a 5,9;4.91;7.78
310110;MG;Aimorés;Resplendor;3;5 a 5,9;5.6;6.23
310120;MG;Aiuruoca;São Lourenço;5;6 a 6,9;6.38;6.17
310130;MG;Alagoa;São Lourenço;6;6 a 6,9;6.72;6.69
310140;MG;Albertina;Poços de Caldas;5;6 a 6,9;5.64;6.93
310150;MG;Além Paraíba;Além  Paraíba;3;5 a 5,9;5.32;6.58
310160;MG;Alfenas;Alfenas / Machado;3;6 a 6,9;5.93;7.23
310163;MG;Alfredo Vasconcelos;Barbacena;5;6 a 6,9;5.91;6.83
310170;MG;Almenara;Almenara/Jacinto;4;5 a 5,9;4.65;6.51
310180;MG;Alpercata;Governador Valadares;6;5 a 5,9;4.89;7.31
310190;MG;Alpinópolis;Passos;5;7 a 7,9;7.61;7.55
310200;MG;Alterosa;Alfenas / Machado;5;6 a 6,9;6.83;6.6
310205;MG;Alto Caparaó;Manhuaçu;6;6 a 6,9;6.24;7.3
315350;MG;Alto Jequitibá;Manhuaçu;6;6 a 6,9;6.54;7.53
